# Residuals   
# Time        	p_rgh         	Ux            	Uy            
0             	N/A	N/A
1.71          	1.122675e-07	3.842398e-06	1.340774e-05
1.72          	1.037405e-07	3.088531e-06	1.076077e-05
1.73          	1.138969e-07	3.634590e-06	1.370004e-05
1.74          	1.041903e-07	2.973517e-06	1.083227e-05
1.75          	1.136688e-07	3.525988e-06	1.377136e-05
1.76          	1.035080e-07	2.839246e-06	1.087433e-05
1.77          	1.129658e-07	3.539696e-06	1.374664e-05
1.78          	1.040358e-07	2.797211e-06	1.107996e-05
1.79          	1.126887e-07	3.534961e-06	1.374595e-05
1.8           	1.025188e-07	2.751072e-06	1.102691e-05
1.81          	1.114807e-07	3.470993e-06	1.360516e-05
1.82          	1.005078e-07	2.680781e-06	1.088417e-05
1.83          	1.100983e-07	3.376287e-06	1.345811e-05
1.84          	9.911684e-08	2.637388e-06	1.073758e-05
1.85          	1.089649e-07	3.301646e-06	1.330491e-05
1.86          	9.762392e-08	2.641676e-06	1.059963e-05
1.87          	1.074143e-07	3.243166e-06	1.315027e-05
1.88          	9.605142e-08	2.617746e-06	1.046124e-05
1.89          	1.054816e-07	3.158825e-06	1.299320e-05
1.9           	9.419824e-08	2.559535e-06	1.035240e-05
1.91          	1.040023e-07	3.078402e-06	1.284009e-05
1.92          	9.259010e-08	2.466288e-06	1.024409e-05
1.93          	1.021630e-07	2.993757e-06	1.271558e-05
1.94          	9.097461e-08	2.377171e-06	1.016994e-05
1.95          	1.003012e-07	2.907212e-06	1.262545e-05
1.96          	8.925287e-08	2.302125e-06	1.011639e-05
1.97          	9.831737e-08	2.838083e-06	1.252506e-05
1.98          	8.749541e-08	2.247778e-06	1.005911e-05
1.99          	9.653365e-08	2.765970e-06	1.242114e-05
2             	8.574949e-08	2.187149e-06	9.964160e-06
2.01          	9.463981e-08	2.679373e-06	1.227615e-05
2.02          	8.392474e-08	2.124293e-06	9.827069e-06
2.03          	9.257032e-08	2.604960e-06	1.210387e-05
2.04          	8.206514e-08	2.084998e-06	9.680786e-06
2.05          	9.044408e-08	2.546660e-06	1.190496e-05
2.06          	8.009182e-08	2.051732e-06	9.528528e-06
2.07          	8.823466e-08	2.497897e-06	1.169763e-05
2.08          	7.810828e-08	2.014386e-06	9.352940e-06
2.09          	8.600743e-08	2.441403e-06	1.146777e-05
2.1           	7.609406e-08	1.963609e-06	9.173706e-06
2.11          	8.371630e-08	2.377091e-06	1.122425e-05
2.12          	7.408075e-08	1.900228e-06	8.991975e-06
2.13          	8.152234e-08	2.305698e-06	1.098953e-05
2.14          	7.196643e-08	1.834967e-06	8.821080e-06
2.15          	7.906430e-08	2.230419e-06	1.077628e-05
2.16          	6.987486e-08	1.772425e-06	8.673117e-06
2.17          	7.672190e-08	2.154327e-06	1.058073e-05
2.18          	6.763218e-08	1.717972e-06	8.517960e-06
2.19          	7.437776e-08	2.082470e-06	1.037806e-05
2.2           	6.538806e-08	1.662391e-06	8.349369e-06
2.21          	7.167335e-08	2.004398e-06	1.014915e-05
2.22          	6.308677e-08	1.602968e-06	8.151198e-06
2.23          	6.917682e-08	1.929593e-06	9.898705e-06
2.24          	6.048165e-08	1.539413e-06	7.921640e-06
2.25          	6.710794e-08	1.869960e-06	9.656421e-06
2.26          	5.829496e-08	1.487534e-06	7.727488e-06
2.27          	6.451328e-08	1.809128e-06	9.379908e-06
2.28          	5.594686e-08	1.444166e-06	7.518745e-06
2.29          	6.197355e-08	1.753862e-06	9.099684e-06
2.3           	5.370092e-08	1.397015e-06	7.287241e-06
2.31          	5.991497e-08	1.726490e-06	8.865144e-06
2.32          	5.109654e-08	1.349027e-06	7.077585e-06
2.33          	5.674049e-08	1.655335e-06	8.562041e-06
2.34          	4.831077e-08	1.294095e-06	6.818238e-06
2.35          	5.273241e-08	1.594450e-06	8.207245e-06
2.36          	4.577589e-08	1.238344e-06	6.565753e-06
2.37          	5.004536e-08	1.535737e-06	7.887457e-06
2.38          	4.323564e-08	1.179861e-06	6.245727e-06
2.39          	4.722384e-08	1.465675e-06	7.542169e-06
2.4           	7.267348e-08	1.062688e-04	6.647602e-04
2.41          	4.443414e-08	1.391235e-06	7.191607e-06
2.42          	9.442723e-07	2.940065e-07	1.106429e-06
2.43          	5.281388e-08	1.719694e-06	9.435744e-06
2.44          	8.772632e-07	2.948142e-07	9.308096e-07
2.45          	7.253469e-08	1.568251e-04	9.015473e-04
2.46          	8.006621e-07	3.083912e-07	9.359089e-07
2.47          	9.082693e-07	2.592355e-07	1.030251e-06
2.48          	7.325265e-07	3.012834e-07	6.854863e-07
2.49          	8.466065e-07	2.677257e-07	8.224240e-07
2.5           	6.631363e-07	3.191453e-07	6.952840e-07
2.51          	7.661338e-07	2.817491e-07	7.359850e-07
2.52          	6.017185e-07	3.447844e-07	7.310218e-07
2.53          	6.980467e-07	3.036155e-07	6.780632e-07
2.54          	5.448260e-07	3.542532e-07	7.309855e-07
2.55          	6.310428e-07	3.174472e-07	6.885927e-07
2.56          	4.939411e-07	3.545114e-07	7.530179e-07
2.57          	5.796496e-07	3.325851e-07	7.410256e-07
2.58          	4.439660e-07	3.605766e-07	7.637179e-07
2.59          	5.285622e-07	3.465754e-07	7.815714e-07
2.6           	1.204464e-07	3.775816e-07	5.640122e-07
2.61          	1.197904e-07	3.653338e-07	5.673716e-07
2.62          	1.047320e-07	3.861410e-07	5.605840e-07
2.63          	1.044079e-07	3.844862e-07	6.066754e-07
2.64          	9.456161e-08	3.909597e-07	5.861617e-07
2.65          	9.308883e-08	3.925268e-07	6.386604e-07
2.66          	8.581786e-08	3.904787e-07	6.292089e-07
2.67          	8.219866e-08	3.986256e-07	6.678207e-07
2.68          	7.855101e-08	3.809786e-07	6.501248e-07
2.69          	7.417224e-08	4.029404e-07	6.728332e-07
2.7           	7.322795e-08	3.768599e-07	6.286122e-07
2.71          	1.053228e-07	4.099397e-07	6.903853e-07
2.72          	1.321837e-07	3.746026e-07	6.288158e-07
2.73          	9.532563e-08	4.091332e-07	6.558671e-07
2.74          	1.375188e-07	3.729535e-07	6.460903e-07
2.75          	1.128826e-07	4.106402e-07	6.848048e-07
2.76          	1.461372e-07	3.681038e-07	6.845461e-07
2.77          	1.389089e-07	4.135187e-07	7.161806e-07
2.78          	1.620344e-07	3.751748e-07	7.330528e-07
2.79          	1.674415e-07	4.316019e-07	7.789113e-07
2.8           	1.892063e-07	3.871127e-07	7.989353e-07
2.81          	1.984132e-07	4.424008e-07	8.358295e-07
2.82          	2.171472e-07	3.956450e-07	8.783409e-07
2.83          	2.305325e-07	4.503033e-07	9.125919e-07
